Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent)
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),705,0.184,0.149,0.139,0.183,0.121,0.076,0.040,0.050,0.058,0.091,0.200,0.261,0.281,0.167,0.756,0.105,0.010,0.060,0.000,0.034,0.035,0.072,0.235,0.765,0.120,0.166
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),602,0.190,0.149,0.135,0.180,0.124,0.077,0.044,0.047,0.054,0.099,0.206,0.267,0.272,0.156,0.761,0.102,0.012,0.054,0.001,0.035,0.035,0.076,0.250,0.750,0.124,0.181
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),515,0.199,0.152,0.141,0.182,0.125,0.071,0.042,0.042,0.046,0.097,0.214,0.271,0.265,0.153,0.758,0.103,0.013,0.057,0.000,0.035,0.034,0.077,0.254,0.746,0.127,0.184
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2117,0.242,0.163,0.128,0.174,0.116,0.067,0.037,0.036,0.037,0.099,0.211,0.277,0.256,0.157,0.724,0.117,0.013,0.071,0.000,0.039,0.036,0.080,0.235,0.765,0.121,0.168
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),105,0.268,0.172,0.140,0.173,0.102,0.061,0.028,0.025,0.031,0.125,0.210,0.262,0.251,0.152,0.681,0.148,0.016,0.069,0.000,0.047,0.039,0.096,0.221,0.779,0.124,0.154
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),400,0.260,0.163,0.116,0.165,0.115,0.065,0.036,0.037,0.043,0.092,0.196,0.275,0.262,0.175,0.747,0.097,0.012,0.076,0.000,0.036,0.032,0.072,0.212,0.788,0.106,0.152
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),617,0.229,0.161,0.127,0.173,0.123,0.072,0.038,0.040,0.037,0.099,0.218,0.282,0.251,0.150,0.723,0.114,0.013,0.070,0.000,0.043,0.037,0.086,0.254,0.746,0.131,0.181
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),600,0.240,0.159,0.133,0.176,0.114,0.066,0.038,0.036,0.038,0.094,0.214,0.276,0.258,0.158,0.733,0.111,0.015,0.068,0.001,0.035,0.037,0.074,0.226,0.774,0.114,0.163
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),395,0.236,0.173,0.132,0.181,0.113,0.063,0.036,0.033,0.033,0.105,0.211,0.278,0.258,0.148,0.698,0.140,0.013,0.071,0.000,0.041,0.037,0.085,0.245,0.755,0.132,0.175
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),2188,0.235,0.163,0.128,0.173,0.119,0.069,0.038,0.037,0.038,0.098,0.211,0.281,0.255,0.155,0.724,0.116,0.013,0.069,0.000,0.041,0.037,0.084,0.239,0.761,0.124,0.170
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),75,0.280,0.162,0.137,0.176,0.102,0.059,0.029,0.026,0.029,0.115,0.197,0.273,0.259,0.156,0.700,0.130,0.016,0.069,0.001,0.047,0.037,0.094,0.204,0.796,0.115,0.138
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),500,0.251,0.163,0.117,0.165,0.118,0.067,0.037,0.038,0.044,0.092,0.197,0.278,0.261,0.172,0.751,0.092,0.012,0.073,0.000,0.039,0.033,0.076,0.217,0.783,0.108,0.155
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),645,0.220,0.162,0.128,0.173,0.127,0.075,0.039,0.040,0.036,0.103,0.221,0.288,0.245,0.143,0.713,0.121,0.013,0.068,0.000,0.047,0.038,0.094,0.268,0.732,0.140,0.191
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),628,0.235,0.157,0.133,0.175,0.117,0.069,0.039,0.037,0.038,0.093,0.214,0.277,0.260,0.156,0.733,0.113,0.014,0.067,0.000,0.036,0.037,0.075,0.229,0.771,0.117,0.165
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),341,0.241,0.174,0.132,0.180,0.111,0.062,0.036,0.032,0.032,0.104,0.208,0.280,0.257,0.151,0.692,0.143,0.013,0.069,0.000,0.044,0.039,0.089,0.242,0.758,0.134,0.170
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1726,0.258,0.168,0.129,0.171,0.108,0.062,0.034,0.033,0.037,0.104,0.212,0.268,0.258,0.158,0.714,0.124,0.013,0.075,0.001,0.037,0.036,0.079,0.225,0.775,0.116,0.163
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),167,0.255,0.178,0.142,0.170,0.103,0.066,0.028,0.025,0.033,0.132,0.228,0.258,0.242,0.140,0.656,0.170,0.016,0.070,0.001,0.046,0.041,0.097,0.244,0.756,0.134,0.173
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),150,0.316,0.182,0.123,0.157,0.092,0.044,0.026,0.026,0.034,0.113,0.204,0.252,0.250,0.181,0.705,0.126,0.012,0.095,0.000,0.030,0.032,0.062,0.186,0.814,0.099,0.130
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),529,0.266,0.166,0.122,0.165,0.109,0.064,0.034,0.035,0.039,0.097,0.207,0.264,0.264,0.168,0.730,0.103,0.012,0.080,0.001,0.038,0.036,0.077,0.215,0.785,0.109,0.157
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),462,0.254,0.162,0.134,0.175,0.107,0.061,0.037,0.035,0.035,0.101,0.213,0.272,0.256,0.158,0.728,0.116,0.015,0.069,0.001,0.034,0.037,0.074,0.215,0.785,0.109,0.156
Bus - StL Bus Index,Origin,N/A,27053103700,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),418,0.230,0.169,0.129,0.180,0.115,0.066,0.036,0.036,0.039,0.103,0.213,0.276,0.262,0.146,0.707,0.139,0.012,0.068,0.000,0.039,0.035,0.085,0.253,0.747,0.133,0.184
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1346,0.260,0.154,0.136,0.167,0.105,0.065,0.037,0.040,0.036,0.087,0.208,0.263,0.275,0.167,0.741,0.104,0.011,0.080,0.001,0.030,0.033,0.067,0.248,0.752,0.121,0.182
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),82,0.267,0.161,0.140,0.170,0.108,0.056,0.038,0.033,0.027,0.106,0.228,0.260,0.254,0.152,0.697,0.139,0.018,0.074,0.001,0.035,0.036,0.074,0.254,0.746,0.131,0.188
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),160,0.340,0.155,0.136,0.144,0.082,0.053,0.028,0.036,0.026,0.070,0.190,0.234,0.313,0.193,0.767,0.081,0.010,0.088,0.001,0.025,0.028,0.053,0.183,0.817,0.092,0.134
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),389,0.244,0.147,0.135,0.174,0.108,0.071,0.040,0.044,0.037,0.080,0.215,0.270,0.277,0.158,0.760,0.090,0.010,0.078,0.001,0.029,0.032,0.066,0.267,0.733,0.128,0.197
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),410,0.248,0.154,0.139,0.168,0.111,0.066,0.036,0.039,0.039,0.091,0.207,0.267,0.270,0.165,0.731,0.114,0.011,0.075,0.001,0.032,0.036,0.071,0.257,0.743,0.126,0.189
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),305,0.262,0.158,0.132,0.169,0.103,0.063,0.038,0.039,0.036,0.094,0.202,0.261,0.273,0.170,0.726,0.109,0.012,0.088,0.001,0.030,0.034,0.067,0.239,0.761,0.118,0.175
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1288,0.267,0.155,0.137,0.166,0.104,0.062,0.036,0.039,0.034,0.087,0.208,0.260,0.277,0.168,0.735,0.106,0.011,0.081,0.001,0.031,0.035,0.067,0.241,0.759,0.119,0.177
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),43,0.284,0.154,0.142,0.168,0.106,0.050,0.036,0.033,0.027,0.111,0.236,0.270,0.245,0.138,0.688,0.152,0.015,0.069,0.001,0.039,0.036,0.074,0.238,0.762,0.122,0.176
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),208,0.346,0.158,0.134,0.144,0.080,0.052,0.027,0.034,0.025,0.070,0.189,0.232,0.314,0.195,0.766,0.076,0.011,0.092,0.002,0.025,0.028,0.052,0.175,0.825,0.089,0.126
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),373,0.250,0.147,0.135,0.173,0.109,0.069,0.039,0.044,0.034,0.080,0.217,0.267,0.276,0.160,0.759,0.089,0.009,0.080,0.001,0.029,0.033,0.063,0.264,0.736,0.129,0.195
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),419,0.249,0.155,0.143,0.165,0.109,0.064,0.036,0.038,0.041,0.091,0.206,0.263,0.270,0.170,0.725,0.120,0.011,0.074,0.001,0.032,0.037,0.071,0.255,0.745,0.125,0.188
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),244,0.264,0.164,0.134,0.173,0.102,0.059,0.036,0.036,0.032,0.100,0.210,0.264,0.262,0.164,0.706,0.120,0.012,0.090,0.000,0.035,0.037,0.074,0.229,0.771,0.116,0.168
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1319,0.250,0.154,0.134,0.169,0.109,0.067,0.040,0.041,0.036,0.085,0.210,0.268,0.276,0.161,0.746,0.104,0.013,0.075,0.001,0.029,0.032,0.068,0.258,0.742,0.126,0.191
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),174,0.257,0.163,0.139,0.171,0.112,0.060,0.038,0.034,0.026,0.099,0.231,0.260,0.262,0.148,0.707,0.126,0.022,0.075,0.001,0.033,0.036,0.073,0.260,0.740,0.136,0.191
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),57,0.300,0.155,0.143,0.146,0.101,0.061,0.029,0.040,0.025,0.068,0.221,0.252,0.281,0.178,0.727,0.124,0.008,0.080,0.001,0.037,0.023,0.074,0.244,0.756,0.123,0.188
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),402,0.233,0.151,0.137,0.172,0.106,0.071,0.044,0.045,0.041,0.077,0.211,0.270,0.280,0.162,0.760,0.093,0.012,0.075,0.001,0.029,0.030,0.072,0.272,0.728,0.129,0.202
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),353,0.244,0.155,0.132,0.171,0.114,0.069,0.041,0.040,0.034,0.089,0.207,0.278,0.272,0.154,0.750,0.100,0.012,0.073,0.001,0.032,0.032,0.069,0.256,0.744,0.124,0.189
Bus - StL Bus Index,Origin,N/A,27053103900,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),334,0.264,0.153,0.130,0.165,0.106,0.066,0.037,0.040,0.039,0.086,0.199,0.261,0.283,0.171,0.745,0.108,0.013,0.077,0.001,0.024,0.032,0.059,0.246,0.754,0.119,0.182
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1083,0.210,0.166,0.152,0.180,0.128,0.068,0.035,0.033,0.028,0.082,0.231,0.269,0.252,0.166,0.741,0.114,0.011,0.072,0.000,0.029,0.033,0.064,0.258,0.742,0.131,0.187
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),33,0.258,0.178,0.154,0.159,0.108,0.055,0.026,0.031,0.031,0.081,0.232,0.250,0.248,0.189,0.702,0.135,0.015,0.070,0.001,0.041,0.036,0.078,0.235,0.765,0.126,0.170
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),191,0.220,0.172,0.168,0.178,0.130,0.063,0.029,0.022,0.018,0.063,0.232,0.256,0.259,0.190,0.749,0.116,0.012,0.073,0.000,0.022,0.028,0.049,0.245,0.755,0.130,0.175
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),359,0.202,0.160,0.152,0.184,0.135,0.070,0.037,0.033,0.027,0.079,0.239,0.277,0.247,0.158,0.754,0.107,0.010,0.072,0.000,0.026,0.031,0.061,0.272,0.728,0.134,0.199
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),365,0.196,0.164,0.144,0.183,0.128,0.073,0.040,0.039,0.033,0.089,0.224,0.275,0.254,0.158,0.734,0.117,0.011,0.071,0.000,0.032,0.035,0.070,0.265,0.735,0.134,0.192
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),135,0.247,0.175,0.154,0.169,0.112,0.058,0.028,0.029,0.028,0.094,0.231,0.251,0.252,0.172,0.718,0.120,0.014,0.077,0.000,0.035,0.036,0.076,0.226,0.774,0.119,0.163
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1218,0.208,0.165,0.152,0.182,0.128,0.069,0.036,0.032,0.028,0.083,0.233,0.270,0.251,0.163,0.742,0.112,0.011,0.072,0.000,0.030,0.033,0.066,0.260,0.740,0.132,0.188
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),27,0.246,0.193,0.172,0.148,0.114,0.053,0.021,0.026,0.027,0.079,0.237,0.241,0.246,0.197,0.714,0.139,0.014,0.057,0.000,0.038,0.038,0.073,0.234,0.766,0.125,0.170
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),240,0.219,0.171,0.167,0.181,0.130,0.062,0.030,0.022,0.018,0.064,0.230,0.259,0.260,0.187,0.756,0.111,0.012,0.072,0.000,0.021,0.028,0.048,0.241,0.759,0.129,0.172
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),389,0.202,0.161,0.152,0.184,0.134,0.069,0.038,0.032,0.028,0.079,0.242,0.276,0.246,0.157,0.754,0.103,0.010,0.075,0.000,0.027,0.031,0.063,0.271,0.729,0.135,0.198
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),443,0.190,0.162,0.142,0.187,0.129,0.075,0.042,0.039,0.034,0.093,0.224,0.278,0.251,0.154,0.734,0.115,0.011,0.070,0.000,0.034,0.036,0.073,0.272,0.728,0.137,0.197
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),120,0.253,0.174,0.156,0.171,0.108,0.058,0.027,0.026,0.027,0.100,0.243,0.246,0.247,0.164,0.719,0.122,0.014,0.071,0.000,0.037,0.037,0.077,0.221,0.779,0.118,0.160
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),651,0.231,0.167,0.152,0.172,0.123,0.063,0.031,0.034,0.027,0.073,0.221,0.259,0.263,0.184,0.732,0.123,0.012,0.074,0.000,0.026,0.033,0.060,0.238,0.762,0.123,0.171
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),43,0.289,0.151,0.128,0.172,0.095,0.057,0.031,0.040,0.037,0.101,0.224,0.244,0.248,0.183,0.657,0.146,0.013,0.104,0.000,0.045,0.035,0.087,0.233,0.767,0.126,0.166
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),66,0.232,0.180,0.169,0.146,0.137,0.066,0.027,0.024,0.019,0.060,0.230,0.241,0.259,0.210,0.687,0.157,0.013,0.080,0.000,0.030,0.033,0.067,0.241,0.759,0.132,0.174
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),247,0.219,0.166,0.153,0.181,0.130,0.064,0.030,0.032,0.025,0.069,0.229,0.267,0.259,0.176,0.748,0.120,0.011,0.063,0.001,0.025,0.032,0.056,0.249,0.751,0.126,0.180
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),159,0.231,0.167,0.153,0.168,0.122,0.060,0.033,0.037,0.029,0.073,0.222,0.258,0.266,0.181,0.743,0.117,0.011,0.075,0.000,0.021,0.033,0.050,0.228,0.772,0.118,0.160
Bus - StL Bus Index,Origin,N/A,27053104001,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),136,0.231,0.169,0.150,0.171,0.113,0.062,0.034,0.038,0.032,0.078,0.201,0.262,0.269,0.190,0.732,0.113,0.013,0.082,0.000,0.026,0.034,0.065,0.231,0.769,0.118,0.166
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2483,0.206,0.154,0.146,0.200,0.121,0.070,0.041,0.035,0.027,0.093,0.226,0.290,0.253,0.138,0.731,0.111,0.017,0.070,0.000,0.035,0.036,0.077,0.277,0.723,0.143,0.201
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),70,0.219,0.165,0.146,0.180,0.120,0.070,0.036,0.034,0.030,0.092,0.237,0.252,0.267,0.152,0.757,0.100,0.011,0.066,0.000,0.034,0.032,0.071,0.247,0.753,0.121,0.185
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),399,0.212,0.151,0.152,0.209,0.122,0.068,0.036,0.029,0.021,0.074,0.224,0.292,0.264,0.146,0.772,0.088,0.016,0.068,0.000,0.024,0.032,0.057,0.259,0.741,0.136,0.179
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),754,0.197,0.151,0.147,0.204,0.121,0.074,0.042,0.036,0.028,0.090,0.231,0.297,0.249,0.133,0.743,0.103,0.017,0.070,0.000,0.033,0.034,0.075,0.292,0.708,0.149,0.214
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),1020,0.201,0.156,0.144,0.197,0.122,0.071,0.043,0.037,0.029,0.103,0.222,0.290,0.250,0.135,0.709,0.125,0.017,0.070,0.000,0.041,0.038,0.086,0.281,0.719,0.144,0.204
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),240,0.239,0.155,0.146,0.195,0.112,0.059,0.037,0.031,0.026,0.094,0.222,0.276,0.259,0.149,0.717,0.123,0.019,0.070,0.000,0.034,0.037,0.076,0.253,0.747,0.132,0.183
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),2920,0.202,0.153,0.146,0.200,0.122,0.071,0.042,0.036,0.028,0.096,0.227,0.292,0.249,0.136,0.728,0.115,0.016,0.069,0.000,0.036,0.036,0.077,0.284,0.716,0.145,0.207
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),61,0.214,0.164,0.156,0.181,0.125,0.070,0.033,0.030,0.027,0.098,0.260,0.254,0.249,0.139,0.769,0.097,0.012,0.059,0.000,0.031,0.032,0.070,0.253,0.747,0.121,0.194
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),529,0.213,0.152,0.152,0.210,0.121,0.067,0.036,0.029,0.020,0.074,0.224,0.293,0.265,0.144,0.775,0.087,0.014,0.068,0.000,0.023,0.033,0.055,0.260,0.740,0.137,0.180
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),824,0.191,0.150,0.144,0.201,0.123,0.078,0.044,0.039,0.030,0.093,0.235,0.299,0.242,0.131,0.737,0.107,0.017,0.070,0.001,0.034,0.034,0.076,0.306,0.694,0.153,0.226
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1288,0.196,0.155,0.144,0.197,0.124,0.072,0.045,0.037,0.030,0.105,0.223,0.293,0.246,0.133,0.706,0.127,0.017,0.069,0.000,0.043,0.038,0.087,0.285,0.715,0.145,0.208
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),218,0.246,0.159,0.144,0.192,0.111,0.053,0.038,0.031,0.026,0.103,0.225,0.274,0.251,0.147,0.685,0.152,0.020,0.069,0.000,0.037,0.037,0.081,0.263,0.737,0.138,0.194
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1213,0.229,0.159,0.145,0.200,0.111,0.064,0.036,0.030,0.026,0.081,0.212,0.280,0.274,0.153,0.750,0.091,0.020,0.074,0.000,0.030,0.035,0.070,0.241,0.759,0.129,0.171
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),79,0.235,0.159,0.127,0.178,0.104,0.074,0.043,0.043,0.037,0.085,0.190,0.259,0.295,0.171,0.727,0.105,0.012,0.087,0.000,0.036,0.033,0.074,0.240,0.760,0.124,0.171
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),106,0.239,0.152,0.157,0.190,0.111,0.066,0.038,0.026,0.021,0.063,0.217,0.283,0.274,0.163,0.755,0.092,0.040,0.056,0.000,0.028,0.029,0.064,0.233,0.767,0.122,0.168
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),440,0.233,0.163,0.149,0.203,0.108,0.061,0.035,0.026,0.022,0.082,0.218,0.289,0.269,0.142,0.751,0.093,0.018,0.074,0.000,0.029,0.035,0.072,0.245,0.755,0.131,0.175
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),366,0.228,0.162,0.139,0.202,0.114,0.061,0.035,0.033,0.026,0.083,0.207,0.275,0.277,0.158,0.741,0.093,0.021,0.076,0.000,0.033,0.036,0.071,0.240,0.760,0.133,0.168
Bus - StL Bus Index,Origin,N/A,27053104002,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),223,0.221,0.148,0.147,0.203,0.114,0.067,0.038,0.030,0.032,0.082,0.213,0.278,0.269,0.158,0.770,0.078,0.017,0.073,0.000,0.026,0.036,0.066,0.240,0.760,0.124,0.169
Bus - StL Bus Index,Origin,N/A,27053104400,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),10428,0.200,0.154,0.140,0.182,0.123,0.077,0.043,0.042,0.039,0.113,0.228,0.282,0.247,0.130,0.695,0.153,0.013,0.060,0.001,0.041,0.037,0.085,0.290,0.710,0.148,0.212
Bus - StL Bus Index,Origin,N/A,27053104400,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),579,0.224,0.168,0.144,0.179,0.113,0.070,0.036,0.034,0.032,0.126,0.228,0.270,0.248,0.128,0.653,0.181,0.013,0.072,0.001,0.039,0.041,0.084,0.268,0.732,0.142,0.196
Bus - StL Bus Index,Origin,N/A,27053104400,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),1107,0.214,0.150,0.136,0.176,0.125,0.078,0.043,0.042,0.036,0.123,0.239,0.283,0.233,0.122,0.677,0.168,0.015,0.064,0.001,0.039,0.036,0.084,0.289,0.711,0.146,0.212
Bus - StL Bus Index,Origin,N/A,27053104400,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),2697,0.208,0.157,0.139,0.179,0.125,0.076,0.042,0.039,0.035,0.121,0.238,0.284,0.235,0.122,0.678,0.166,0.015,0.060,0.001,0.043,0.037,0.089,0.302,0.698,0.155,0.223
Bus - StL Bus Index,Origin,N/A,27053104400,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),4255,0.183,0.149,0.140,0.185,0.127,0.081,0.046,0.046,0.043,0.102,0.222,0.283,0.256,0.137,0.719,0.135,0.012,0.059,0.001,0.038,0.036,0.079,0.292,0.708,0.148,0.213
Bus - StL Bus Index,Origin,N/A,27053104400,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),1790,0.221,0.160,0.143,0.179,0.114,0.070,0.039,0.038,0.036,0.119,0.223,0.277,0.249,0.132,0.679,0.161,0.015,0.059,0.001,0.046,0.039,0.096,0.276,0.724,0.144,0.200
