Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5-6 mi (percent),Trip Length 6-7 mi (percent),Trip Length 7-8 mi (percent),Trip Length 8-9 mi (percent),Trip Length 9-10 mi (percent),Trip Length 10+ mi (percent)
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),160,1226,1226,3.7,3.7,0.087,0.213,0.167,0.148,0.113,0.087,0.045,0.023,0.032,0.023,0.013,0.010,0.039,0.125,0.269,0.190,0.116,0.090,0.068,0.042,0.029,0.013,0.010,0.048
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),993,1261,1261,3.4,3.4,0.087,0.235,0.186,0.138,0.092,0.069,0.039,0.029,0.029,0.022,0.014,0.016,0.044,0.123,0.319,0.209,0.107,0.063,0.037,0.041,0.026,0.014,0.010,0.051
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),69,1350,1350,4.6,4.6,0.017,0.237,0.254,0.169,0.068,0.051,0.051,0.034,0.000,0.017,0.017,0.000,0.085,0.051,0.237,0.237,0.169,0.034,0.085,0.051,0.017,0.017,0.000,0.102
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),87,1398,1398,3.7,3.7,0.064,0.283,0.192,0.090,0.051,0.090,0.038,0.038,0.013,0.038,0.013,0.013,0.077,0.103,0.205,0.345,0.103,0.077,0.013,0.051,0.026,0.000,0.013,0.064
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),387,1261,1261,3.3,3.3,0.093,0.232,0.158,0.155,0.110,0.076,0.028,0.023,0.031,0.028,0.020,0.006,0.040,0.127,0.358,0.178,0.105,0.071,0.037,0.037,0.017,0.017,0.011,0.042
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),288,1281,1281,3.2,3.2,0.095,0.233,0.195,0.130,0.065,0.069,0.050,0.019,0.034,0.019,0.011,0.034,0.046,0.134,0.344,0.206,0.088,0.046,0.034,0.046,0.034,0.015,0.011,0.042
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),162,1115,1115,3.4,3.4,0.095,0.225,0.204,0.122,0.129,0.048,0.041,0.054,0.034,0.007,0.007,0.014,0.020,0.136,0.272,0.204,0.122,0.082,0.034,0.034,0.034,0.014,0.007,0.061
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1433,1414,1414,4.0,4.0,0.061,0.178,0.199,0.152,0.103,0.070,0.056,0.039,0.026,0.022,0.018,0.015,0.061,0.090,0.228,0.241,0.130,0.083,0.052,0.035,0.030,0.023,0.018,0.070
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),47,1508,1508,4.7,4.7,0.038,0.210,0.204,0.166,0.096,0.032,0.064,0.032,0.019,0.038,0.025,0.006,0.070,0.038,0.204,0.267,0.115,0.102,0.057,0.045,0.038,0.013,0.025,0.096
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),216,1323,1323,3.5,3.5,0.064,0.172,0.238,0.165,0.107,0.068,0.039,0.035,0.019,0.015,0.012,0.015,0.051,0.066,0.258,0.297,0.120,0.073,0.053,0.039,0.025,0.019,0.008,0.042
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),464,1370,1370,3.9,3.9,0.078,0.196,0.196,0.147,0.092,0.068,0.047,0.035,0.025,0.024,0.017,0.014,0.061,0.115,0.238,0.223,0.128,0.078,0.047,0.027,0.026,0.026,0.021,0.071
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),466,1527,1527,4.3,4.3,0.055,0.151,0.182,0.144,0.107,0.081,0.072,0.049,0.028,0.024,0.021,0.015,0.071,0.094,0.211,0.239,0.121,0.087,0.054,0.035,0.034,0.025,0.017,0.083
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),240,1341,1341,4.1,4.1,0.043,0.194,0.203,0.162,0.114,0.062,0.054,0.034,0.033,0.019,0.016,0.019,0.047,0.065,0.219,0.219,0.163,0.091,0.059,0.046,0.034,0.022,0.019,0.063
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1484,1429,1429,4.0,4.0,0.054,0.175,0.195,0.158,0.105,0.067,0.058,0.040,0.029,0.025,0.018,0.015,0.061,0.088,0.237,0.238,0.129,0.081,0.054,0.034,0.031,0.022,0.017,0.069
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),37,1769,1769,5.1,5.1,0.028,0.153,0.235,0.167,0.097,0.042,0.069,0.028,0.014,0.056,0.028,0.000,0.083,0.042,0.194,0.249,0.153,0.083,0.056,0.042,0.042,0.028,0.014,0.097
